🕘️更新时间,#genre#
2026-03-07 17:39:57,http://101.74.28.215:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0

📺央视频道,#genre#
CCTV-17,http://60.4.29.183:8077/rtp/239.253.93.150:6318
CCTV-17,http://144.48.185.78:1777/tv/mg1.php?id=CCTV17
CETV-1,http://171.83.103.119:9999/rtp/239.69.1.110:10298
CETV-1,http://120.198.84.146:9901/tsfile/live/1038_1.m3u8
CETV-1,http://1501.lijiuyu.baby:9999/rtp/239.253.224.110:8000
CETV-1,http://218.74.248.175:8188/rtp/233.50.200.169:5140
CETV-1,http://gfr.x3322.net:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-2,http://231114.xyz:4022/rtp/239.3.1.54:4120
CETV-2,http://gfr.x3322.net:9901/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-4,http://231114.xyz:4022/rtp/239.3.1.56:4120
CETV-4,http://1501.lijiuyu.baby:9999/rtp/239.253.224.116:8000
CETV-4,http://gfr.x3322.net:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0

💰央视经典频道,#genre#
央视台球,http://171.83.103.119:9999/rtp/239.69.1.98:10224
风云音乐,http://120.198.84.146:9901/tsfile/live/1081_1.m3u8
第一剧场,http://120.198.84.146:9901/tsfile/live/1001_1.m3u8
高尔夫网球,http://171.83.103.119:9999/rtp/239.69.1.83:10138
风云足球,http://60.4.29.183:8077/rtp/239.253.93.254:6432
风云足球,http://220.176.218.207:9000/udp/239.252.219.96:5140
风云足球,http://59.174.116.93:4022/rtp/239.69.1.81:10126
风云足球,http://xu3791vg3503.vicp.fun:8808/rtp/239.69.1.81:10126
风云足球,http://116.2.164.201:4010/rtp/232.0.0.52:1234
世界地理,http://60.4.29.183:8077/rtp/239.253.92.131:6113
世界地理,http://220.176.218.207:9000/udp/239.252.219.93:5140
世界地理,http://pr.19760929.xyz:9688/rtp/239.253.43.24:5146
世界地理,http://59.174.116.93:4022/rtp/239.69.1.91:10186
世界地理,http://xu3791vg3503.vicp.fun:8808/rtp/239.69.1.91:10186
兵器科技,http://171.83.103.119:9999/rtp/239.69.1.79:10114
兵器科技,http://120.198.84.146:9901/tsfile/live/1068_1.m3u8

📡卫视频道,#genre#
湖南卫视,http://58.32.16.142:4022/udp/233.18.204.86:5140
湖南卫视,http://60.4.29.183:8077/rtp/239.253.92.84:8015
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720
湖南卫视,http://joyznm.i234.me:20000/udp/239.3.1.132:8012###des:1080P###HLS\\n
湖南卫视,http://14.118.74.55:10001/rtp/239.77.0.88:5146
广东卫视,http://58.32.16.142:4022/udp/233.18.204.88:5140
广东卫视,http://113.104.185.72:7088/udp/239.77.0.65:5146
广东卫视,http://183.236.43.98:4014/udp/239.77.0.84:5146
广东卫视,http://60.4.29.183:8077/rtp/239.253.92.206:8108
广东卫视,http://116.9.34.226:4000/udp/239.81.0.104:4056
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
浙江卫视,http://58.32.16.142:4022/udp/233.18.204.84:5140
浙江卫视,http://113.104.185.72:7088/udp/239.77.0.58:5146
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710
浙江卫视,http://pr.19760929.xyz:9688/rtp/239.77.1.33:5146
北京卫视,http://itms3.sdlk.vip:3333/hls/22/index.m3u8
北京卫视,http://58.32.16.142:4022/udp/233.18.204.87:5140
北京卫视,http://113.104.185.72:7088/udp/239.77.0.233:5146
北京卫视,http://60.4.29.183:8077/rtp/239.253.92.87:8014
北京卫视,http://14.118.74.55:10001/rtp/239.77.0.91:5146
湖北卫视,http://58.32.16.142:4022/udp/233.18.204.92:5140
湖北卫视,http://joyznm.i234.me:20000/udp/239.3.1.138:8044
湖北卫视,http://14.145.187.24:4022/rtp/239.77.1.93:5146
湖北卫视,http://14.145.187.24:4022/rtp/239.77.0.95:5146
湖北卫视,http://116.9.34.226:4000/udp/239.81.0.112:4056
黑龙江卫视,http://58.32.16.142:4022/udp/233.18.204.90:5140
黑龙江卫视,http://60.4.29.183:8077/rtp/239.253.92.85:8016
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990
黑龙江卫视,http://115.171.80.124:1688/udp/225.1.8.42:8016
黑龙江卫视,http://alist.guangyuan.site:8188/rtp/239.77.1.6:5146
安徽卫视,http://itms3.sdlk.vip:3333/hls/42/index.m3u8
安徽卫视,http://58.32.16.142:4022/udp/233.18.204.93:5140
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750
安徽卫视,http://115.171.80.124:1688/udp/225.1.8.52:8064
安徽卫视,http://14.118.74.55:10001/rtp/239.77.1.92:5146
重庆卫视,http://58.32.16.142:4022/udp/233.18.204.100:5140
重庆卫视,http://60.4.29.183:8077/rtp/239.253.92.10:6053
重庆卫视,http://www.410725.xyz:8092/hls/38/index.m3u8
重庆卫视,http://115.171.80.124:1688/udp/225.1.8.172:8162
重庆卫视,http://joyznm.i234.me:20000/udp/239.3.1.122:8160###des:1080P###HLS\\n
东方卫视,http://58.32.16.142:4022/udp/233.18.204.51:5140
东方卫视,http://113.104.185.72:7088/udp/239.77.0.59:5146
东方卫视,http://60.4.29.183:8077/rtp/239.253.92.89:8019
